date,log_return,true_sigma
2014-01-01,0.001998609144017506,0.009999999999999995
2014-01-02,-0.00450720290748695,0.009601024234388878
2014-01-03,0.001772542734648218,0.00932563489479027
2014-01-06,-0.0040242545744105865,0.008966619696003474
2014-01-07,0.005763577006426669,0.00871766896892786
2014-01-08,0.00413185288545252,0.008521408126526603
2014-01-09,0.0017908144036477994,0.00827092408642927
2014-01-10,-0.002990442032708417,0.00798126950209686
2014-01-13,0.0023304530212217263,0.007765645589729621
2014-01-14,-0.0025004357845778715,0.007519492731813123
2014-01-15,-0.0028281134089346432,0.007321796435383968
2014-01-16,-0.0017165478049708414,0.007150799944488706
2014-01-17,0.00013236291660113035,0.006957987682888452
2014-01-20,-0.000692177814099237,0.006751521746814704
2014-01-21,-0.015394516026357847,0.00656798632330908
2014-01-22,0.00569939828249647,0.00781251886947029
2014-01-23,0.0016572264162626972,0.007687301566690914
2014-01-24,0.005165082291065944,0.007435877801430267
2014-01-27,0.008137680156761614,0.007314649016365477
2014-01-28,0.0029655503131690085,0.007404080892556078
2014-01-29,0.0035364131484600355,0.007198936556527223
2014-01-30,0.0009692910052838532,0.007027076431565613
2014-01-31,-0.001042413568328821,0.006816116312194918
2014-02-03,-0.005480191422953137,0.00663353756245443
2014-02-04,0.005664958123252618,0.006668167191189605
2014-02-05,0.004320663458121068,0.0066447085499582274
2014-02-06,0.00048298968828279124,0.0065501705384911095
2014-02-07,0.00533063595360342,0.006372933690463254
2014-02-10,-0.007095163270934582,0.006357645707181009
2014-02-11,0.0004419734077662081,0.006556875281199552
2014-02-12,-0.001119921509523284,0.006379155232059934
2014-02-13,0.006716566272898128,0.006231708512358963
2014-02-14,0.00395260078836181,0.006327908626294568
2014-02-17,0.0007440120310957825,0.006244343120037816
2014-02-18,-0.003680815195787481,0.006090763683676522
2014-02-19,0.00858361625005922,0.00606514627040929
2014-02-20,-0.0016470037104610344,0.006350983190622651
2014-02-21,0.011704646758804981,0.006218541527836974
2014-02-24,-0.003483196556803445,0.006844469415466594
2014-02-25,0.010604773788050992,0.006740278466513258
2014-02-26,0.0003358968910264333,0.007145399547271144
2014-02-27,-0.0003582149437671995,0.006924826034461689
2014-02-28,-0.011564082305551143,0.0067243450742789064
2014-03-03,0.0005809262221527348,0.007371465360441577
2014-03-04,0.0053990973511425285,0.007134786284707175
2014-03-05,0.00024146867877842138,0.007052286876189793
2014-03-06,0.003993874455026273,0.006838612596221189
2014-03-07,0.003353280997230778,0.006713161156539772
2014-03-10,0.002920479882275199,0.006573520855541544
2014-03-11,-0.0030191929226559217,0.006431077407655391
2014-03-12,0.003923366087752005,0.0063414240094067
2014-03-13,-0.003646889260600164,0.006255385475734762
2014-03-14,0.00031433634246280217,0.0062122940970469635
2014-03-17,0.004516634818776309,0.006061030921624019
2014-03-18,-0.0016245728011774906,0.006029357732875595
2014-03-19,-0.0004600336141548251,0.005922748008390051
2014-03-20,0.002844241218279238,0.005800412290262138
2014-03-21,0.0012838200061292245,0.0057201347724052795
2014-03-24,0.008592371321967144,0.005612227502266161
2014-03-25,0.0030676976938911866,0.0059654258584346765
2014-03-26,-0.0027911203046073365,0.005878360385431478
2014-03-27,-0.003054909506758552,0.005828046548172123
2014-03-28,-0.004201042758337376,0.005794868802569588
2014-03-31,-0.0016524434815782772,0.005830131922722861
2014-04-01,0.023725576776922323,0.005741257305506177
2014-04-02,0.005446178343348039,0.00864985694869472
2014-04-03,0.013330516354554537,0.008443648330309033
2014-04-04,0.00793603845060497,0.008907044931249466
2014-04-07,0.005249090370250358,0.00882187496474968
2014-04-08,0.018717923038498483,0.008593441618577146
